Question_Number,Column_Name,Question_Name,Full_Question
Q1,1.あなたが作ったこの作品は新規性や独創性が高いと思いますか？,Q1,1.あなたが作ったこの作品は新規性や独創性が高いと思いますか？
Q2,2.あなたが作ったこの作品はアイデアや感情を豊かに表現できていますか？,Q2,2.あなたが作ったこの作品はアイデアや感情を豊かに表現できていますか？
Q3,3.あなたが作ったこの作品は十分に完成された出来映えだと思いますか？,Q3,3.あなたが作ったこの作品は十分に完成された出来映えだと思いますか？
Q4,4.あなたはこの作品の出来栄えに満足していますか？,Q4,4.あなたはこの作品の出来栄えに満足していますか？
Q5,5.この作品の制作には多くの労力が必要でしたか？,Q5,5.この作品の制作には多くの労力が必要でしたか？
Q6,6.私は、自分の行動を完全にコントロールできていると感じました。,Q6,6.私は、自分の行動を完全にコントロールできていると感じました。
Q7,7.私は、システムに振り回されていると感じました。（逆転）,Q7,7.私は、システムに振り回されていると感じました。（逆転）
Q8,8.私の行動の結果が、意図した通りに論理的に繋がっていると感じられませんでした。（逆転）,Q8,8.私の行動の結果が、意図した通りに論理的に繋がっていると感じられませんでした。（逆転）
Q9,9.私は、デザイン空間の異なる領域を探索する上で、システムをコントロールできていると感じました。,Q9,9.私は、デザイン空間の異なる領域を探索する上で、システムをコントロールできていると感じました。
Q10,10.このシステムを使用することで、デザインの出力に対する各デザインパラメータの影響を把握できました。,Q10,10.このシステムを使用することで、デザインの出力に対する各デザインパラメータの影響を把握できました。
Q11,11.このシステムを使用することで、デザイン空間について直感的に理解できました。,Q11,11.このシステムを使用することで、デザイン空間について直感的に理解できました。
Q12,13.私が得られた最適なデザインは、納得のいくものだと感じました。,Q12,13.私が得られた最適なデザインは、納得のいくものだと感じました。
Q13,14.私は、デザイン空間で最適なデザインを見つけられたと確信しています。,Q13,14.私は、デザイン空間で最適なデザインを見つけられたと確信しています。
Q14,15.最終的な成果物（例：動画、デザイン）は、私とAIの共同の責任によるものだと感じました。,Q14,15.最終的な成果物（例：動画、デザイン）は、私とAIの共同の責任によるものだと感じました。
