UID,Task_State,Method,Group,Timestamp,q1_best_method,q2_worst_method,q3_reason,q4_metaphor,q5_glvbo_agency,q6_process,q7_fixation,q8_creativity,q9_trust_pos,q10_trust_neg,q11_glvbo_trust,q12_improvement,感想
6,complete,final,mario,2025-09-05T05:28:55.430Z,cma-es,standard-bo,ウマは最初だったのでまだ感覚が掴めていなかったのはあるかもしれない。AIにより提案する条件は総じて自分の意図が反映されている感覚はなく、ヒヨコと大差ないように感じたが、フクロウはある程度自分の「難度がそれなりに高いもの」という要求を汲んでいたように感じた。,,,,行き詰まった感覚はあまりなかった。ただAIにより助けられた感覚もなかった。,基本平坦なステージと敵の配置しか提案されず、あまり新しいアイデアが生まれた感覚はなかった。自分が作った天井全てにenemyが置かれているステージが一番新しかった。,特になし,全てのAIあり条件において、意図の反映されより良いものを作れている感覚や、新しい発想が生まれる感覚はなかった。使いやすいものは（強いていうなら）フクロウ条件だったが、最も自由に検討できたのはヒヨコ条件だった感覚があった。,,自分の制作物はAIの提案に反映されている？トリッキーな提案が出てこなかったので本システムは自分にとって不要なものと感じた。,
8,complete,final,mario,2025-09-05T07:29:46.089Z,cma-es,standard-bo,フクロウAIの提案が総合的に良かった気がする、ウマはスコアの付け方が自分の意図通りじゃなかった,,,,行き詰まることはあまりなかった,AIのおかげで様々なコースをたくさん作ることができたけど、どれもありきたりなコースばかりだった気がする,コース作りに慣れるまではAIの提案がいくらか役に立った、あと普通のコースをたくさん作りたいときとか,コース作りに慣れてくるとAIの提案がない方が独創的なアイデアが生まれると思った,,AIの提案に順位付けして良い提案から順に並べてくれる機能とか,
11,complete,final,mario,2025-09-06T12:04:30.148Z,cma-es,standard-bo,"フクロウはボタンを押しているだけで，結構バリエーションのある提案をしてくれたので，少し修正するだけで良かった．
逆にウマやヒヨコはほとんど同じ提案をされたので，あまり良いデザインをできたと感じられなかった．",,,,どの手法でもあった．助けになったのはフクロウのみだと思う．,フクロウ条件であったが，詳細に覚えていない．ただ，面白かったが，クリアできない構造になっていたので，そこを少し手直しする程度だったように思います．,まだ試していないようなデザインが来た時．,ほとんど同じようなものを提案してきた時．,,なし,
1,complete,final,mario,2025-09-04T11:35:09.443Z,glv-bo,cma-es,イルカは少し複雑目なものを提案してくれて助かった．フクロウは何も役に立った気がしない．なぜこれがSuggestされるのか理由が知りたくなり，提案に対して疑心暗鬼になったから．,,,,ヒヨコ以外は助けになった．最後がひよこの手法だったが，補助輪が外されたような気分で，色々な工夫のステージを上手く網羅的に考えることができなかったと感じた．,A Iのサジェスチョンと比べて，自分は浮遊するブロックや落とし穴が好きだなと感じた（これ系の提案は少なかった）．ただ，小さな壁が２，３個くらいあるステージはAIが提案してくれて，タイミングよくジャンプしないと難しいため，これ良い一つのアイデアだと感じた．,あまり賢さを感じなかった．ヒヨコをやって初めて役に立ってた感があった．,全く関係ない，簡単すぎる，同じものを４つ出してくる時．,,イルカの探索のsmall/bigの選択が色々変えて実行しても変化が感じられなかったのと経験的に意味を理解することができなかったので具体的にどういう選択肢が提案されるのか説明が欲しかった．,
2,complete,final,mario,2025-09-04T11:55:16.979Z,glv-bo,manual,"使いやすさといった点では🐬が一番楽、選択してやるだけだし出力もいいから
ひよこは考えるのが難しい全部何かを考えて作らないといけないから
",,,,"ひよこは考えないといけないから行き詰まりを感じた
それ以外はあんまりない",階段上で、かつエネミーの配置で、どれぐらい死なないでいけるのかといったパターンの模索とか、ゴールの上にグラウンドをおくことによって横からのゴールしか受け付けないようにするとか、そういう生成パターンにはアイデアが生まれたと思う,"ある程度の初期配置において、普通のルートではあるがある程度用意してくれるのが、役に立つ
イルカのエネミー配置が賢かった(間を挟んで2個おく)とか、そういうAIの提案は嬉しい
ゴールの例もそう、どの方向からゴールさせるっていうことを意識づけできた気がする(ひよこの時は思わなかった)","空中にグランドを置いているのに全然学習してくれないところ
配置を迷路のように複雑化させるっていう意図は理解してくれない",,"4つ生成するなら、同時に4つを大きくしてプレイしながら選べるようにしてほしい、いちいち切り替えるのがめんどくさかった
イルカの三つの選ぶやつ(小中大)に関して、スライダーで選べる感じがいいかも、連続している感じがいい
あとはグリッチを見つけた
例
　　人グラウンド　　　  　👦🟫
  　　 グラウンド　　　　　　🟫
　この時に右入力を続けると落ちない(下にグランドがなくても止まれる)　
　入力をやめると下に落ちる

",
5,complete,final,mario,2025-09-04T13:30:35.503Z,glv-bo,manual,AIによる提案をもとにして、イマジネーションを膨らませていたため、ヒヨコモードはやりにくいように感じました。,,,,行き詰まりはありませんでした。,AIがステージを作ってくれていたため、面白いギミックについて考えることに時間を多く使えました。,賢いとはあまり思いませんでしたが、ステージの基盤を整えてくれるという点で役に立ちました。,提案してくれたゲームデザインが似たようなものばかりだったため、退屈感は感じました。,,より奇抜なデザインを行う機能があれば良いと思います。,
9,complete,final,mario,2025-09-05T07:04:18.194Z,glv-bo,manual,全部の手法が意図的に作ったギミックは反映してくれなかったが、体感イルカの小さいものをランダム刺激として使うくらいが一番アイデア生産しやすい気がした。手動のみだと行き詰まりやすさを感じた。,,,,ヒヨコが、4番目だったのもあるが、外部刺激がないので行き詰まりを感じた。,AIの提案は大体すごく簡単なので、これをどうやったら難しくできるかを考えた時にアイデアが出てきた。,AIの提案というか、適度に乱してくれたり、ステージとしては良くなくてもタネをたくさん出してくれるところはいいと感じた。,意図は全ての条件の全ての施行で理解していなかった。,,敵を動かせたり、ジャンプなどの挙動もいじれるとより探索の幅が広がっていいと思った。,
10,complete,final,mario,2025-09-06T04:43:27.367Z,glv-bo,manual,イルカはAIの学習の仕方を自分で調整できたため。ヒヨコは使いにくくはなかったけど、サジェストがあると自分じゃ気づくまで時間がかかるレベルデザインの可能性を効率よく試せるため。,,,,自分で作る過程で何度もテストプレイして改善点を見出すことができたため行き詰まりは感じなかったが、サジェストがあるヒヨコ以外はより色々な可能性を探求できた。,GroundブロックとEnemyブロックの配置のアイデアでちょっと行きづらいけど無理ではないちょうど良い難易度の配置をAIの提案で初めて発見した時が何度かあった,"難易度をスコア表示されていたのが賢いと感じた。サジェストを評価しやすかった。
また、提案があることであらゆる可能性を自分でイチから作らなくても良いので役に立つと感じた。
",自分が学習に入力したレベルデザインが反映されている感じがしなかった時。,,"自分が調整したレベルに対しても難易度をスコア表示できるといい。
",
15,complete,final,mario,2025-09-06T13:00:48.662Z,glv-bo,manual,感觉有ai推荐的场景可以发散自己的思维，创造更多场景,,,,场景比较小，想要拓展场景,比如更换开始和终点的位置,生成我没有想到过的路线时,终点被地面围绕起来的时候,,我希望追加游戏关卡,
16,complete,final,mario,2025-09-06T13:34:57.805Z,glv-bo,manual,0->1を作るという点では、提案がないのは面倒である。,,,,特になし。,最初らへんのコースの大枠は提案通りにした。,特になし。,変わったコースのデザインを踏まえて提案してこないとき。,,既存のコースの理解をもとに提案してきているように感じるので、現在のユーザーのコースデザインをベースにノイズを加えるように提案を出してほしい。,
